Method,Accuracy,Macro Precision,Macro Recall,Macro F1
k-NN Euclidean (k=5),0.6443298969072165,0.5361370274792275,0.5216568151922313,0.507213416504755
"k-NN DTW (r=3, k=5, n=200)",0.66,0.5428824049513705,0.522674146797569,0.5046620046620046
ROCKET (500 kernels),0.6391752577319587,0.5290340391463987,0.5178737130484733,0.5037920002598373
Shapelet (train n=500),0.5781786941580757,0.507037557037557,0.5068150222805342,0.5067315584470508
