Model,Best params,CV macro-F1,Accuracy,Macro F1,Weighted F1,F1 sii=0,F1 sii=1,F1 sii=2,F1 sii=3
SVM,"{'kernel': 'linear', 'C': 1}",0.3158729146250223,0.48983451536643025,0.3204321647914291,0.5437631529779103,0.6617945594803085,0.3037974683544304,0.26666666666666666,0.04946996466431095
Neural Net,"{'learning_rate_init': 0.01, 'hidden_layer_sizes': (64,), 'alpha': 0.0001}",0.3050716124402931,0.6737588652482269,0.3013761401779319,0.6166753367935136,0.8127659574468085,0.16216216216216217,0.23057644110275688,0.0
Bagging,"{'n_estimators': 50, 'max_samples': 0.7, 'max_features': 1.0}",0.23431429625081757,0.691725768321513,0.23295713564084464,0.5830374762098547,0.8205857264714245,0.06436781609195402,0.046875,0.0
Random Forest,"{'n_estimators': 200, 'min_samples_leaf': 5, 'max_features': 0.7, 'max_depth': 40}",0.3192668940723955,0.675177304964539,0.34147763993748553,0.6438095755018627,0.8171701112877583,0.24920127795527156,0.2995391705069124,0.0
AdaBoost,"{'n_estimators': 50, 'learning_rate': 1.0, 'estimator__max_depth': 3}",0.3031444108607114,0.6572104018912529,0.3084352620233536,0.6190505599411528,0.8025117739403453,0.2301710730948678,0.20105820105820105,0.0
LogReg (ordinal),-,,0.5205673758865248,0.25895189665165347,0.5381232314541091,0.7378071140447378,0.0049382716049382715,0.25,0.0430622009569378
XGBoost (ordinal),-,,0.6222222222222222,0.319852447866075,0.6003788442302577,0.7862957937584804,0.10105263157894737,0.34554973821989526,0.046511627906976744
